,Original,Standardized
1122,Cataract; Presbyopia,Eye Disorders
1123,Amblyopia,Amblyopia
1124,Normal Tension Glaucoma,Normal Tension Glaucoma
1125,Agitation in Patients With Dementia of the Alzheimer's Type,Agitation in Patients With Dementia of the Alzheimer's Type
1126,Hodgkin's Disease,Hodgkin's Disease
1127,Prostate Cancer Patients,Prostate Cancer Patients
1128,HER2 Positive Breast Cancer,HER2 Positive Breast Cancer
1129,HCC,HCC
1130,Prostate Cancer; Oligometastasis; Oligorecurrence; Recurrent Prostate Cancer; Metastatic Prostate Cancer; De Novo Prostate Cancer,Prostate Cancer; Oligometastasis; Oligorecurrence; Recurrent Prostate Cancer; Metastatic Prostate Cancer; De Novo Prostate Cancer
1131,Leukemia; Acute Myeloid Leukemia; AML,Leukemia; Acute Myeloid Leukemia; AML
1132,Efficacy,Efficacy
1133,Leukemia; Acute Myeloid Leukemia; Myelodysplastic Syndrome,Acute Myeloid Leukemia and Myelodysplastic Syndrome
1134,Neoplasm Malignant,Neoplasm Malignant
1135,HER2+ Breast Cancer,HER2+ Breast Cancer
1136,Advanced Solid Tumors; Metastatic Melanoma,Advanced Solid Tumors; Metastatic Melanoma
1137,Growth Hormone Deficiency,Growth Hormone Deficiency
1138,"Carcinoma, Non Small Cell Lung",Non-small Cell Lung Cancer (NSCLC)
1139,Neuroblastoma Recurrent,Neuroblastoma Recurrent
1140,Prostate Adenocarcinoma; Recurrent Prostate Carcinoma,Prostate Adenocarcinoma; Recurrent Prostate Carcinoma
1141,Neurofibromatosis 1,Neurofibromatosis 1
1142,Edentulous Alveolar Ridge,Edentulous Alveolar Ridge
1143,HER2-negative,HER2-negative
1144,Generalized Myasthenia Gravis,Generalized Myasthenia Gravis
1145,"Leukemia, Myeloid","Leukemia, Myeloid"
1146,Pulmonary Tuberculosis,Pulmonary Tuberculosis
1147,HIV/AIDS; HIV Infections,HIV/AIDS; HIV Infections
1148,COVID-19 Patients,COVID-19 Patients
1149,Advanced Metastatic Breast Cancer,Advanced Metastatic Breast Cancer
1150,HIV Prevention,HIV Prevention
1151,Myelodysplastic Syndrome; Chronic Myelomonocytic Leukemia,Myelodysplastic Syndrome
1152,Cancer; Tumors; Neoplasms; Neoplasia,Cancer
1153,HER2-positive Breast Cancer; Brain Metastases,HER2-positive Breast Cancer with Brain Metastases
1154,Chemotherapy-Induced Nausea and Vomiting,Chemotherapy-Induced Nausea and Vomiting
1155,HIV Infections; Hepatitis C,HIV and Hepatitis C Coinfection
1156,Hemorrhoids,Hemorrhoids
1157,Lymphoma; Small Intestine Cancer,Lymphoma and Small Intestine Cancer
1158,HER2-positive Metastatic Breast Cancer,HER2-positive Metastatic Breast Cancer
1159,Advanced Solid Malignancies,Advanced Solid Malignancies
1160,Cervical Radiculopathy,Cervical Radiculopathy
1161,Advanced Unresectable or Metastatic Solid Malignancy,Advanced Unresectable or Metastatic Solid Malignancy
1162,Fanconi Anemia,Fanconi Anemia
1163,Non-small Cell Lung Carcinoma,Non-small Cell Lung Carcinoma
1164,"Lymphocytic Leukemia, Chronic","Lymphocytic Leukemia, Chronic"
1165,Pregnancy Related,Pregnancy Related
1166,Glioblastoma Multiforme; Gliosarcoma,Glioblastoma Multiforme; Gliosarcoma
1167,Non-Valvular Atrial Fibrillation,Atrial Arrhythmias
1168,Prediabetes,Prediabetes
1169,Non-metastatic Castration-resistant Prostate Cancer,Non-metastatic Castration-resistant Prostate Cancer
1170,Non-squamous Non-small Cell Lung Cancer,Non-squamous Non-small Cell Lung Cancer
1171,End-stage Renal Disease,End-stage Renal Disease
1172,Pre-Eclampsia,Pre-Eclampsia
1173,Burn,Burn
1174,Prader-Willi Syndrome,Prader-Willi Syndrome
1175,Postpartum Depression,Postpartum Depression
1176,Gestational Diabetes,Gestational Diabetes
1177,Cardiac Disease,Cardiac Disease
1178,Leukemia; Myelodysplastic Syndrome,Leukemia and Myelodysplastic Syndrome
1179,Age-Related Macular Degeneration,Age-Related Macular Degeneration
1180,Non-Hodgkins Lymphoma,Non-Hodgkin's Lymphoma
1181,Glycogen Storage Disease Type III,Glycogen Storage Disease Type III
1182,Non Small Cell Lung Cancer Metastatic,Stage IV Non-small Cell Lung Cancer
1183,Endometrial Hyperplasia,Endometrial Hyperplasia
1184,Adverse Drug Reaction,Adverse Drug Reaction
1185,Non Alcoholic Steatohepatitis,Non-Alcoholic Steatohepatitis
1186,Adverse Drug Events,Adverse Drug Events
1187,"Carcinoma, Non-small Cell Lung","Carcinoma, Non-small Cell Lung"
1188,Nicotine Dependence,Drug Dependence
1189,Graft Rejection,Graft Rejection
1190,Newly Diagnosed Acute Myeloid Leukemia With High Risk,Myeloid Neoplasms
1191,Primary Hyperparathyroidism,Primary Hyperparathyroidism
1192,Primary Immune Thrombocytopenia,Primary Immune Thrombocytopenia
1193,Hormone Receptor Positive Advanced Breast Cancer,Hormone Receptor Positive Advanced Breast Cancer
1194,Advanced or Metastatic Solid Tumors; Advanced or Metastatic Colorectal Cancer (mCRC),Advanced or Metastatic Solid Tumors; Advanced or Metastatic Colorectal Cancer (mCRC)
1195,Advanced Thyroid Cancer Patients Who Received Target Therapy,Advanced Thyroid Cancer with Target Therapy
1196,Malocclusion,Malocclusion
1197,Cognitive Change,Cognitive Change
1198,Stage IVA Colorectal Cancer; Stage IVB Colorectal Cancer,Stage IV Colorectal Cancer
1199,Cognition,Cognition
1200,Acute Myeloid Leukemia; Myelodysplastic Syndrome; Recurrent Acute Myeloid Leukemia; Recurrent Myelodysplastic Syndrome; Refractory Acute Myeloid Leukemia; Refractory Myelodysplastic Syndrome,Acute Myeloid Leukemia; Myelodysplastic Syndrome; Recurrent Acute Myeloid Leukemia; Recurrent Myelodysplastic Syndrome; Refractory Acute Myeloid Leukemia; Refractory Myelodysplastic Syndrome
1201,ST-segment Elevation Myocardial Infarction,ST-segment Elevation Myocardial Infarction
1202,Chronic Lymphocytic Leukemia (CLL); Small Lymphocytic Lymphoma (SLL),Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma
1203,Solid Tumors Harboring Somatic HER2 or EGFR Exon 18 Mutations,Advanced or Metastatic Solid Tumors
1204,Acute Myeloid Leukemia; Relapse/Recurrence,Acute Myeloid Leukemia; Relapse/Recurrence
1205,Depression; Depressive Disorder,Depression; Depressive Disorder
1206,Uveitis; Macular Edema,Uveitis with Macular Edema
1207,ST Elevation Myocardial Infarction,ST Elevation Myocardial Infarction
1208,Interstitial Cystitis,Interstitial Cystitis
1209,Adenocarcinoma of the Prostate; Recurrent Prostate Cancer; Stage IV Prostate Cancer,Adenocarcinoma of the Prostate; Recurrent Prostate Cancer; Stage IV Prostate Cancer
1210,Cystinuria,Cystinuria
1211,Adolescent Idiopathic Scoliosis (AIS),Adolescent Idiopathic Scoliosis (AIS)
1212,Hyperuricemia,Hyperuricemia
1213,"Diabetes Mellitus, Type II","Diabetes Mellitus, Type II"
1214,Acute Myeloid Leukemia; Myelodysplastic Syndrome; Myelodysplastic Syndrome/Acute Myeloid Leukemia,Acute Myeloid Leukemia; Myelodysplastic Syndrome; Myelodysplastic Syndrome/Acute Myeloid Leukemia
1215,Breast Neoplasms; Breast Cancer,Breast Neoplasms; Breast Cancer
1216,Acquired Immunodeficiency Syndrome,Acquired Immunodeficiency Syndrome
1217,Inflammatory Bowel Disease,Inflammatory Bowel Disease
1218,Constipation,Constipation
1219,Weight Gain,Weight Gain
1220,Collagenous Colitis,Collagenous Colitis
1221,"Keratosis, Actinic",Actinic Keratosis
1222,Sinusitis; Nasal Polyps,Sinonasal Disease
1223,Invasive Breast Cancer,Invasive Breast Cancer
1224,Salivary Gland Cancer,Salivary Gland Cancer
1225,T-cell Lymphoma,T-cell Lymphoma
1226,Infections,Infections
1227,Breast Neoplasms; Breast Cancer; Breast Tumors; Angiosarcoma; TNBC - Triple-Negative Breast Cancer; HER2-positive Breast Cancer; HER2-negative Breast Cancer; Hormone Receptor Positive Tumor; Hormone Receptor Negative Tumor; Early-stage Breast Cancer; Locally Advanced Breast Cancer,Breast Neoplasms; Breast Cancer; Breast Tumors; Angiosarcoma; TNBC - Triple-Negative Breast Cancer; HER2-positive Breast Cancer; HER2-negative Breast Cancer; Hormone Receptor Positive Tumor; Hormone Receptor Negative Tumor; Early-stage Breast Cancer; Locally Advanced Breast Cancer
1228,Dental Pain,Dental Conditions
1229,Acute Decompensated Heart Failure,Acute Decompensated Heart Failure
1230,"Hyperparathyroidism, Secondary",Secondary Hyperparathyroidism
1231,Acute Myeloid Leukemia (AML); Myelodysplastic Syndrome (MDS),Acute Myeloid Leukemia (AML); Myelodysplastic Syndrome (MDS)
1232,Restless Legs Syndrome,Restless Legs Syndrome
1233,Urothelial Carcinoma; Bladder Cancer,Urothelial Carcinoma
1234,Visceral Leishmaniasis,Visceral Leishmaniasis
1235,Idiopathic Membranous Nephropathy,Idiopathic Membranous Nephropathy
1236,Adult Acute Myeloid Leukemia With 11q23 (MLL) Abnormalities; Adult Acute Myeloid Leukemia With Del(5q); Adult Acute Myeloid Leukemia With Inv(16)(p13;q22); Adult Acute Myeloid Leukemia With t(15;17)(q22;q12); Adult Acute Myeloid Leukemia With t(16;16)(p13;q22); Adult Acute Myeloid Leukemia With t(8;21)(q22;q22); Recurrent Adult Acute Myeloid Leukemia,Adult Acute Myeloid Leukemia With 11q23 (MLL) Abnormalities; Adult Acute Myeloid Leukemia With Del(5q); Adult Acute Myeloid Leukemia With Inv(16)(p13;q22); Adult Acute Myeloid Leukemia With t(15;17)(q22;q12); Adult Acute Myeloid Leukemia With t(16;16)(p13;q22); Adult Acute Myeloid Leukemia With t(8;21)(q22;q22); Recurrent Adult Acute Myeloid Leukemia
1237,Chronic Lymphocytic Leucemia,Chronic Lymphocytic Leucemia
1238,Insulin Sensitivity,Insulin Sensitivity
1239,Sexually Transmitted Diseases,Sexually Transmitted Diseases
1240,Vitiligo,Vitiligo
1241,Hypothermia,Hypothermia
1242,Acute Promyelocytic Leukemia With t(15;17)(q24.1;q21.2); PML-RARA,Acute Promyelocytic Leukemia
1243,Urinary Tract Infections,Urinary Tract Infections
1244,"Renal Insufficiency, Chronic",Chronic Renal Insufficiency
1245,Type 2 Diabetes; Diabetic Nephropathy,Type 2 Diabetes with Diabetic Nephropathy
1246,Acute Myeloid Leukemia; Acute Lymphoid Leukemia,Acute Myeloid Leukemia; Acute Lymphoid Leukemia
1247,Cigarette Smoking,Cigarette Smoking
1248,Acute Gout,Acute Gout
1249,Sickle Cell Anemia,Sickle Cell Anemia
1250,Breast Cancer Stage II,Early Stage Breast Cancer
1251,Colorectal Cancer; Liver Metastasis,Colorectal Cancer; Liver Metastasis
1252,Rett Syndrome,Rett Syndrome
1253,Colorectal Cancer; Liver Metastases; HAI,Colorectal Cancer with Liver Metastases
1254,Uterine Fibroids,Uterine Fibroids
1255,AML; Relapsed Acute Myeloid Leukemia; Refractory Acute Myeloid Leukemia,AML; Relapsed Acute Myeloid Leukemia; Refractory Acute Myeloid Leukemia
1256,Transcatheter Aortic Valve Replacement,Transcatheter Aortic Valve Replacement
1257,Breast Cancer; Breast Neoplasms,Breast Cancer; Breast Neoplasms
1258,Sedentary Lifestyle,Sedentary Lifestyle
1259,Cutaneous Leishmaniasis,Cutaneous Leishmaniasis
1260,Rib Fractures,Rib Fractures
1261,In-stent Restenosis,In-stent Restenosis
1262,Human Immunodeficiency Virus (HIV),HIV (Human Immunodeficiency Virus)
1263,Treatment Efficacy,Clinical Efficacy and Safety
1264,Acute Myeloid Leukemia; Induction Chemotherapy,Acute Myeloid Leukemia and Myelodysplastic Syndromes
1265,Depressive Symptoms,Depressive Symptoms
1266,Syphilis,Syphilis
1267,Hypotension,Hypotension
1268,Kidney Disease,Kidney Disease
1269,Vasculogenic Erectile Dysfunction,Vasculogenic Erectile Dysfunction
1270,Hyperemesis Gravidarum,Hyperemesis Gravidarum
1271,Diabetic Foot,Diabetic Foot
1272,"Acute Lymphoblastic Leukemia; B Acute Lymphoblastic Leukemia, Philadelphia Chromosome Negative","Acute Lymphoblastic Leukemia; B Acute Lymphoblastic Leukemia, Philadelphia Chromosome Negative"
1273,Schizophrenia; Bipolar Disorder,Bipolar Disorder
1274,Chronic Rhinosinusitis,Chronic Rhinosinusitis
1275,Cough,Cough
1276,"Infections, Streptococcal",Streptococcal Infections
1277,Colorectal Cancer Stage IV,Colorectal Cancer Stage IV
1278,Critical Limb Ischemia,Critical Limb Ischemia
1279,"Influenza, Human",Influenza
1280,Chronic Disease,Chronic Disease
1281,Breast Cancer; Metastatic Cancer,Breast Cancer; Metastatic Cancer
1282,Subarachnoid Hemorrhage,Subarachnoid Hemorrhage
1283,Chronic Myeloid Leukemia (CML),Chronic Myeloid Leukemia (CML)
1284,Colorectal Cancer Metastatic; mCRC,Colorectal Cancer Metastatic; mCRC
1285,Intraocular Pressure,Intraocular Pressure
1286,Suicide,Suicide
1287,Inguinal Hernia,Inguinal Hernia
1288,Covid19; SARS-CoV Infection,Covid19; SARS-CoV Infection
1289,Acute Lymphoid Leukemia; Minimal Residual Disease; Gene Abnormality; Chemotherapeutic Toxicity,Acute Lymphoid Leukemia
1290,"Sarcoma,Soft Tissue","Sarcoma,Soft Tissue"
1291,Trigger Finger,Trigger Finger
1292,Cognitive Dysfunction,Cognitive Dysfunction
1293,Diabetic Peripheral Neuropathic Pain,Diabetic Peripheral Neuropathic Pain
1294,Hypercholesterolemia; Dyslipidemia,Hypercholesterolemia; Dyslipidemia
1295,Depression; Anxiety,Depression and Anxiety
1296,"Adult Burkitt Lymphoma; B-Cell Lymphoma, Unclassifiable, With Features Intermediate Between Diffuse Large B-Cell Lymphoma and Burkitt Lymphoma; Diffuse Large B-Cell Lymphoma; MYC Gene Mutation; Plasmablastic Lymphoma","Adult Burkitt Lymphoma; B-Cell Lymphoma, Unclassifiable, With Features Intermediate Between Diffuse Large B-Cell Lymphoma and Burkitt Lymphoma; Diffuse Large B-Cell Lymphoma; MYC Gene Mutation; Plasmablastic Lymphoma"
1297,Acinar Cell Adenocarcinoma of the Pancreas; Duct Cell Adenocarcinoma of the Pancreas; Stage I Pancreatic Cancer; Stage IIA Pancreatic Cancer; Stage IIB Pancreatic Cancer,Pancreatic Cancer
1298,Relapsing-remitting Multiple Sclerosis (RRMS),Relapsing-Remitting Multiple Sclerosis
1299,Tinea Pedis,Tinea Pedis
1300,Solid Tumor; Gastrointestinal Cancer; Breast Cancer,Solid Tumors and Gastrointestinal Cancer
1301,Relapsing-Remitting Multiple Sclerosis; Multiple Sclerosis,Relapsing-Remitting Multiple Sclerosis; Multiple Sclerosis
1302,Copd,Copd
1303,Acute Lymphoblastic Leukemia; Precursor B-Cell Lymphoblastic Leukemia; Precursor T-Cell Lymphoblastic Leukemia,Acute Lymphoblastic Leukemia; Precursor B-Cell Lymphoblastic Leukemia; Precursor T-Cell Lymphoblastic Leukemia
1304,Intubation Complication,Intubation Complication
1305,"Sarcoma, Soft Tissue","Sarcoma, Soft Tissue"
1306,Solid Tumor; Colorectal Cancer,Solid Tumor; Colorectal Cancer
1307,Triple Negative Breast Cancer (TNBC),Triple Negative Breast Cancer (TNBC)
1308,Intracranial Aneurysm,Intracranial Aneurysm
1309,Skin Cancer,Skin Cancer
1310,Chronic Venous Insufficiency,Chronic Venous Insufficiency
1311,Systemic Lupus Erythematosus (SLE),Systemic Lupus Erythematosus (SLE)
1312,Type 2 Diabetes Mellitus (T2DM),Type 2 Diabetes Mellitus
1313,Treatment-resistant Depression,Treatment-resistant Depression
1314,Wound Heal,Wound Healing
1315,Soft Tissue Sarcoma Adult,Soft Tissue Sarcoma Adult
1316,Solid Tumor; Advanced Solid Tumor; Metastatic Cancer,Advanced and Metastatic Solid Tumors
1317,Hypertrophic Cardiomyopathy,Hypertrophic Cardiomyopathy
1318,Platinum-resistant Ovarian Cancer,Platinum-resistant Ovarian Cancer
1319,Acinar Cell Adenocarcinoma of the Pancreas; Duct Cell Adenocarcinoma of the Pancreas; Recurrent Pancreatic Cancer; Stage II Pancreatic Cancer; Stage III Pancreatic Cancer,Acinar Cell Adenocarcinoma of the Pancreas; Duct Cell Adenocarcinoma of the Pancreas; Recurrent Pancreatic Cancer; Stage II Pancreatic Cancer; Stage III Pancreatic Cancer
1320,Myelodysplastic Syndromes; Acute Myeloid Leukemia,Myelodysplastic Syndromes and Acute Myeloid Leukemia
1321,Myelodysplastic Syndrome; Leukemia,Myelodysplastic Syndrome; Leukemia
1322,Acute Myeloid Leukemia; Refractory Acute Leukemia; Relapsed Adult AML,Refractory/Relapsed Acute Myeloid Leukemia
1323,Liver Transplantation; Hepatocellular Carcinoma; Tumor Recurrence and Metastasis; Survival; Adjuvant Chemotherapy,Liver Transplantation; Hepatocellular Carcinoma; Tumor Recurrence and Metastasis; Survival; Adjuvant Chemotherapy
1324,Infectious Disease,Infectious Disease
1325,Central Nervous System Lymphoma; Secondary Central Nervous System Lymphoma,Central Nervous System Lymphoma
1326,"Blood Concentrations of Nine Anti-cancer Drugs : Axitinib, Olaparib, regorafénib, Cabozantinib, Niraparib, Talazoparib, Palbociclib, Abemaciclib, Tucatinib",Anti-cancer Drug Concentrations
1327,Plasma Cell Myeloma Recurrent,Plasma Cell Myeloma Recurrent
1328,Acute Myeloid Leukemia; Measurable Disease,Acute Myeloid Leukemia with Measurable Disease
1329,Acute Myeloid Leukemia; Myelodysplastic Syndrome; Chronic Myelomonocytic Leukemia,Acute Myeloid Leukemia; Myelodysplastic Syndrome; Chronic Myelomonocytic Leukemia
1330,Acute Myeloid Leukemia; Myelodysplastic Syndrome; Chronic Myeloid Leukemia,Acute Myeloid Leukemia and Myelodysplastic Syndrome
1331,Infective Endocarditis,Infective Endocarditis
1332,Locally Advanced Digestive System Neuroendocrine Carcinoma; Locally Advanced Pancreatic Neuroendocrine Carcinoma; Metastatic Digestive System Neuroendocrine Carcinoma; Metastatic Pancreatic Neuroendocrine Carcinoma; Refractory Digestive System Neuroendocrine Carcinoma; Refractory Pancreatic Neuroendocrine Carcinoma; Unresectable Digestive System Neuroendocrine Carcinoma; Unresectable Pancreatic Neuroendocrine Carcinoma,Neuroendocrine Carcinoma
1333,NAFLD,Non-alcoholic Fatty Liver Disease
1334,Locally Advanced Gastric Cancer,Metastatic Gastric Cancer
1335,Alzheimer Disease; Dementia,Alzheimer Disease and Dementia
1336,"NK-T-Cell Lymphoma, Extranodal","NK-T-Cell Lymphoma, Extranodal"
1337,Myelodysplastic Syndromes; Chronic Myelomonocytic Leukemia; Acute Myeloid Leukemia,Myelodysplastic Syndromes; Chronic Myelomonocytic Leukemia; Acute Myeloid Leukemia
1338,Colorectal; Cancer,Colorectal; Cancer
1339,Depression; Acute Kidney Injury,Depression with Acute Kidney Injury
1340,Solid Cancer,Solid Cancer
1341,Community-acquired Pneumonia,Community-acquired Pneumonia
1342,Hepatic Carcinoma,Hepatic Carcinoma
1343,Solid Cancers,Solid Cancers
1344,"Depression, Unipolar","Depression, Unipolar"
1345,Colorectal Neoplasms; Intestinal Neoplasms,Intestinal Neoplasms
1346,Breast Cancer; Malignant Neoplasm of Breast,Breast Cancer; Malignant Neoplasm of Breast
1347,Philadelphia Positive Acute Lymphoblastic Leukemia; Lymphoid Blastic Phase of Chronic Myeloid Leukemia,Philadelphia Positive Leukemia
1348,Myelodysplastic Syndrome; Acute Myelogenous Leukemia,Myelodysplastic Syndrome and AML
1349,Tuberous Sclerosis Complex,Tuberous Sclerosis Complex
1350,Alopecia,Alopecia
1351,Central Centrifugal Cicatricial Alopecia (CCCA),Central Centrifugal Cicatricial Alopecia (CCCA)
1352,Hemophilia B,Hemophilia B
1353,Chronic Kidney Disease With High Proteinuria,Chronic Kidney Disease With High Proteinuria
1354,Chronic Kidney Disease and Hypertension,Chronic Kidney Disease and Hypertension
1355,Small-cell Lung Cancer; Small Cell Lung Carcinoma,Small-cell Lung Cancer; Small Cell Lung Carcinoma
1356,"Tuberculosis, Pulmonary",Pulmonary Tuberculosis
1357,Hip Pain Chronic,Chronic Hip Pain
1358,Myeloid Malignancy; Acute Myeloid Leukemia,Myeloid Malignancies
1359,Candidiasis,Candidiasis
1360,Depression; Inflammation,Depression; Inflammation
1361,HIV Infections; Contraception; Drug-drug Interaction,HIV Infections with Contraception Considerations
1362,Photoaging,Photoaging
1363,Triple-negative Breast Cancer; TNBC - Triple-Negative Breast Cancer,Triple-negative Breast Cancer; TNBC - Triple-Negative Breast Cancer
1364,Sleep Initiation and Maintenance Disorders,Sleep Initiation and Maintenance Disorders
1365,Muscle Weakness,Muscle Weakness
1366,Type 2 Diabetes Mellitus; Cardiovascular Disease,Type 2 Diabetes Mellitus and Cardiovascular Disease
1367,Estrogen Receptor Positive Breast Cancer,ER-Positive HER2-Negative Breast Cancer
1368,HR Positive HER2 Negative Advanced Breast Cancer,HR Positive HER2 Negative Advanced Breast Cancer
1369,Ulcerative Colitis Acute,Ulcerative Colitis Acute
1370,Leukemia; Myelodysplastic Syndromes; Myelodysplastic/Myeloproliferative Diseases,Leukemia; Myelodysplastic Syndromes; Myelodysplastic/Myeloproliferative Diseases
1371,Seasonal Allergic Rhinitis,Seasonal Allergic Rhinitis
1372,Hodgkin´s Lymphoma,Hodgkin's Lymphoma
1373,Atrial Fibrillation; Left Atrial Appendage Thrombosis,Atrial Fibrillation; Left Atrial Appendage Thrombosis
1374,Secondary Hyperparathyroidism; Chronic Kidney Disease,Secondary Hyperparathyroidism; Chronic Kidney Disease
1375,"Cancer; Diabetes Mellitus, Type 2; Interleukin 6; SGLT2 Inhibitors","Cancer; Diabetes Mellitus, Type 2; Interleukin 6; SGLT2 Inhibitors"
1376,Secondary Progressive Multiple Sclerosis,Secondary Progressive Multiple Sclerosis
1377,HIV; Pregnancy,HIV Infection
1378,Bioequivalency,Bioequivalency
1379,PreDiabetes,Prediabetes
1380,Pre-diabetes,Pre-diabetes
1381,"Diabetes Mellitus, Type 2; Arterial Hypertension; Body Weight Changes",Type 2 Diabetes with Complications
1382,Type2Diabetes; ASCVD,Type 2 Diabetes with ASCVD
1383,Type2Diabetes,Type 2 Diabetes Mellitus with Complication
1384,Posttraumatic Stress Disorder; Depression; Alcohol-Related Disorders; Suicidal Ideation; Substance-Related Disorders; Mild Cognitive Impairment; Quality of Life; Pain; Wounds and Injury; Brain Injuries; Chronic Disease,Posttraumatic Stress Disorder with Comorbidities
1385,Multiple Myeloma in Relapse; Refractory Multiple Myeloma,Multiple Myeloma in Relapse; Refractory Multiple Myeloma
1386,Keratoconus,Keratoconus
1387,Chronic Graft-versus-host Disease,Chronic Graft-versus-host Disease
1388,HR+/HER2- Advanced Breast Cancer; Targeted Therapy,HR+/HER2- Advanced Breast Cancer; Targeted Therapy
1389,Sciatica,Sciatica
1390,Leukemia; Lymphoma; Myelodysplastic Syndromes; Myelodysplastic/Myeloproliferative Diseases,Hematologic Malignancies
1391,Unrecognized Condition,Unrecognized Condition
1392,Primary CNS Lymphoma (PCNSL),Primary CNS Lymphoma
1393,Leukemia; Lymphoma; Myelodysplastic Syndrome,Leukemia; Lymphoma; Myelodysplastic Syndrome
1394,Atrophic Acne Scar,Atrophic Acne Scar
1395,Primary Biliary Cholangitis,Primary Biliary Cholangitis
1396,Endometrial Carcinoma,Endometrial Carcinoma
1397,Adverse Drug Reactions,Adverse Drug Reactions
1398,Endometrial Neoplasms,Endometrial Neoplasms
1399,Breastfeeding,Breastfeeding
1400,Premature Ovarian Failure,Premature Ovarian Failure
1401,Mitral Regurgitation,Mitral Regurgitation
1402,Atrial Fibrillation; Venous Thromboembolism; Heart Valve Diseases or Prosthesis,Atrial Fibrillation; Venous Thromboembolism; Heart Valve Diseases or Prosthesis
1403,Endometriosis-related Pain,Endometriosis-related Pain
1404,Schizophrenia; Schizoaffective Disorder; Schizophreniform Disorder,Schizophrenia Spectrum Disorders
1405,Uncomplicated Malaria,Uncomplicated Malaria
1406,Moderate to Severe Plaque Psoriasis,Moderate to Severe Plaque Psoriasis
1407,HR+/HER2- Advanced/Metastatic Breast Cancer,HR+/HER2- Advanced/Metastatic Breast Cancer
1408,Moderate-to-Severe Atopic Dermatitis,Moderate-to-Severe Atopic Dermatitis
1409,Type2 Diabetes; Myocardial Infarction; Ischemic Stroke; Cardiovascular Death; Heart Failure; All-Cause Mortality,Type 2 Diabetes with Cardiovascular Complications
1410,Colorectal Cancer; Gastroesophageal Cancer; Renal Cell Carcinoma,Colorectal and Gastroesophageal Cancers
1411,Keratoconjunctivitis Sicca,Keratoconjunctivitis Sicca
1412,"Infections, Papillomavirus",Papillomavirus Infections
1413,Atrial Fibrillation (AF),Atrial Fibrillation
1414,Shoulder Impingement,Rotator Cuff Tendinopathy
1415,Type 2 Diabetes; Diabetic Kidney Disease,Type 2 Diabetes; Diabetic Kidney Disease
1416,Desmoid Tumor,Desmoid Tumor
1417,Type 2 Diabetes; Cardiovascular Diseases; Cardiac Perfusion Defect,Type 2 Diabetes with Complications
1418,Esophageal Squamous Cell Carcinoma (ESCC),Esophageal Squamous Cell Carcinoma
1419,Polymyalgia Rheumatica,Polymyalgia Rheumatica
1420,Esophageal Squamous Cell Carcinoma; Oligometastatic Disease; Radiotherapy,Esophageal Squamous Cell Carcinoma; Oligometastatic Disease; Radiotherapy
1421,Sinusitis,Sinusitis
1422,Breast Cancer; Breast Cancer Stage IV; Metastatic Breast Cancer,Breast Cancer; Breast Cancer Stage IV; Metastatic Breast Cancer
1423,Polycystic Ovary Syndrome (PCOS),Polycystic Ovary Syndrome (PCOS)
1424,Esophagogastric Adenocarcinoma,Esophagogastric Adenocarcinoma
1425,Polycystic Ovarian Syndrome,Polycystic Ovarian Syndrome
1426,Alcoholism; Substance-related Disorders; Dual Diagnosis,Alcohol Use Disorder
1427,Dermatitis Atopic,Dermatitis Atopic
1428,Atopic Dermatitis (AD),Atopic Dermatitis (AD)
1429,Type 2 Diabetes Mellitus; Inadequate Glycaemic Control,Diabetes Mellitus Type 2
1430,Chronic Plantar Fasciitis,Chronic Plantar Fasciitis
1431,Post Operative Pain Control,Post Operative Pain Control
1432,Kaposi Sarcoma,Kaposi Sarcoma
1433,HIV; Fenofibrate; Protease Inhibitors; Hypertriglyceridemia; Glucuronosyltransferase,HIV with Hypertriglyceridemia
1434,Kawasaki Disease,Kawasaki Disease
1435,Severe Acute Malnutrition,Severe Acute Malnutrition
1436,Type1diabetes,Type1diabetes
1437,Type1 Diabetes,Type1 Diabetes
1438,Severe Alcoholic Hepatitis,Severe Alcoholic Hepatitis
1439,Postoperative Complications,Postoperative Complications
1440,Bowen's Disease,Bowen's Disease
1441,Erdheim-Chester Disease,Erdheim-Chester Disease
1442,Severe Bleeding; Urgent Surgery,Severe Bleeding in Urgent Surgery
1443,HIV/AIDS and Infections,HIV/AIDS and Infections
1444,Muscle Invasive Bladder Cancer; High Risk Urothelial Carcinoma of the Upper Urinary Tracts,Muscle Invasive Bladder Cancer; High Risk Urothelial Carcinoma of the Upper Urinary Tracts
1445,Hyperlipidemias,Hyperlipidemias
1446,Colorectal Cancer; Metastatic Colorectal Cancer With RAS Mutation,Colorectal Cancer; Metastatic Colorectal Cancer With RAS Mutation
1447,Acute Promyelocytic Leukemia; Relapse,Acute Promyelocytic Leukemia; Relapse
1448,"Multiple Sclerosis; Multiple Sclerosis, Relapsing-Remitting",Multiple Sclerosis
1449,HIV-2 Infection,HIV-2 Infection
1450,Erosive Esophagitis,Erosive Esophagitis
1451,Erythema Chronicum Migrans,Erythema Chronicum Migrans
1452,Erythema Migrans,Erythema Migrans
1453,"Community-acquired Pneumonia, Influenza, COVID-19",Community-acquired Respiratory Infections
