indication_mesh_term	organ
Creutzfeldt-Jakob Syndrome	CNS/Brain
Labyrinth Diseases	
Marburg Virus Disease	
Marfan Syndrome	Skin
Meconium Aspiration Syndrome	Lung
Melanosis	Skin
Mucopolysaccharidoses	Skin
Myelitis, Transverse	
Ossification, Heterotopic	
Paralysis	CNS/Brain
Placental Insufficiency	
Plague	
Plant Poisoning	
Pregnancy, Ectopic	
Progeria	
Retinitis	
Rotavirus Infections	
Sphingolipidoses	CNS/Brain
Tachycardia	
Urinary Calculi	Bladder/Urinary Tract
Vaginitis	Vulva/Vagina
Werner Syndrome	
Yellow Fever	
Zellweger Syndrome	
Tumor Lysis Syndrome	
Pyruvate Dehydrogenase Complex Deficiency Disease	CNS/Brain
Spastic Paraplegia, Hereditary	CNS/Brain
Aniridia	
Postpoliomyelitis Syndrome	CNS/Brain
Guided Tissue Regeneration, Periodontal	
Myelinolysis, Central Pontine	CNS/Brain
Hantavirus Infections	
Congenital Disorders of Glycosylation	
Iron Overload	
Anti-Glomerular Basement Membrane Disease	Lung
Hyperglycinemia, Nonketotic	CNS/Brain
Carbamoyl-Phosphate Synthase I Deficiency Disease	CNS/Brain
Myasthenic Syndromes, Congenital	CNS/Brain
Vasospasm, Intracranial	CNS/Brain
Hemangioma, Cavernous, Central Nervous System	CNS/Brain
Hermanski-Pudlak Syndrome	Skin
Polyomavirus Infections	
Optic Atrophy, Autosomal Dominant	CNS/Brain
Henipavirus Infections	
CADASIL	CNS/Brain
Fractures, Cartilage	
Dysuria	
Hyper-IgM Immunodeficiency Syndrome	
Vulvodynia	
Vitelliform Macular Dystrophy	
Sarcoglycanopathies	Lung
Fusariosis	Skin
Hand-Foot Syndrome	Skin
Chikungunya Fever	
